provider_id,provider_name,specialty,facility_type,region,network_status
PRV-00001,Anderson Specialty Clinic 1,Cardiology,Surgery Center,Houston Metro,Out of Network
PRV-00002,Taylor Imaging Center 2,Oncology,Imaging Center,Houston Metro,In Network
PRV-00003,Johnson Specialty Clinic 3,Neurology,Specialty Clinic,Houston Metro,In Network
PRV-00004,White Specialty Clinic 4,Dermatology,Hospital,Austin Metro,In Network
PRV-00005,Brown Clinic 5,Radiology,Hospital,East Texas,In Network
PRV-00006,Davis Specialty Clinic 6,Gastroenterology,Specialty Clinic,San Antonio,In Network
PRV-00007,Martin Specialty Clinic 7,Dermatology,Specialty Clinic,Austin Metro,Out of Network
PRV-00008,Davis Specialty Clinic 8,Primary Care,Imaging Center,Houston Metro,In Network
PRV-00009,Davis Surgery Center 9,Cardiology,Imaging Center,Austin Metro,In Network
PRV-00010,Taylor Surgery Center 10,Neurology,Clinic,North Texas,Out of Network
PRV-00011,Martin Imaging Center 11,Orthopedics,Imaging Center,Central Texas,Out of Network
PRV-00012,Moore Specialty Clinic 12,Gastroenterology,Hospital,San Antonio,In Network
PRV-00013,Brown Hospital 13,Cardiology,Specialty Clinic,Austin Metro,In Network
PRV-00014,Miller Specialty Clinic 14,Neurology,Hospital,San Antonio,Out of Network
PRV-00015,Johnson Specialty Clinic 15,Pulmonology,Hospital,Central Texas,In Network
PRV-00016,Johnson Clinic 16,Primary Care,Hospital,Central Texas,In Network
PRV-00017,Smith Clinic 17,Cardiology,Specialty Clinic,Austin Metro,In Network
PRV-00018,Martin Clinic 18,Primary Care,Clinic,San Antonio,Out of Network
PRV-00019,White Surgery Center 19,Cardiology,Clinic,San Antonio,In Network
PRV-00020,Anderson Hospital 20,Radiology,Surgery Center,North Texas,In Network
PRV-00021,Moore Specialty Clinic 21,Oncology,Imaging Center,East Texas,In Network
PRV-00022,Garcia Specialty Clinic 22,Pulmonology,Clinic,Austin Metro,In Network
PRV-00023,Davis Hospital 23,Radiology,Imaging Center,Austin Metro,Out of Network
PRV-00024,Thomas Clinic 24,Primary Care,Clinic,Central Texas,In Network
PRV-00025,Smith Surgery Center 25,Physical Therapy,Hospital,North Texas,In Network
PRV-00026,Taylor Imaging Center 26,Dermatology,Surgery Center,Austin Metro,Out of Network
PRV-00027,Thomas Clinic 27,Primary Care,Surgery Center,Austin Metro,Out of Network
PRV-00028,Martin Surgery Center 28,Oncology,Clinic,North Texas,In Network
PRV-00029,Martin Imaging Center 29,Oncology,Clinic,East Texas,In Network
PRV-00030,Moore Imaging Center 30,Primary Care,Surgery Center,San Antonio,In Network
PRV-00031,Martin Specialty Clinic 31,Dermatology,Imaging Center,San Antonio,In Network
PRV-00032,Smith Imaging Center 32,Pulmonology,Hospital,Austin Metro,In Network
PRV-00033,Wilson Imaging Center 33,Pulmonology,Hospital,Austin Metro,In Network
PRV-00034,Martin Hospital 34,Physical Therapy,Specialty Clinic,Austin Metro,In Network
PRV-00035,Moore Specialty Clinic 35,Physical Therapy,Specialty Clinic,San Antonio,In Network
PRV-00036,Brown Surgery Center 36,Pulmonology,Surgery Center,San Antonio,In Network
PRV-00037,Smith Imaging Center 37,Dermatology,Surgery Center,Central Texas,In Network
PRV-00038,Garcia Specialty Clinic 38,Gastroenterology,Surgery Center,North Texas,In Network
PRV-00039,Moore Hospital 39,Primary Care,Clinic,Central Texas,In Network
PRV-00040,Jackson Surgery Center 40,Pulmonology,Specialty Clinic,San Antonio,Out of Network
PRV-00041,Miller Surgery Center 41,Primary Care,Imaging Center,North Texas,In Network
PRV-00042,Smith Specialty Clinic 42,Radiology,Hospital,North Texas,In Network
PRV-00043,Jackson Imaging Center 43,Pulmonology,Imaging Center,North Texas,In Network
PRV-00044,Perez Imaging Center 44,Cardiology,Hospital,Austin Metro,In Network
PRV-00045,Miller Clinic 45,Cardiology,Specialty Clinic,East Texas,In Network
PRV-00046,Davis Imaging Center 46,Cardiology,Specialty Clinic,East Texas,In Network
PRV-00047,Davis Surgery Center 47,Oncology,Hospital,Central Texas,In Network
PRV-00048,White Imaging Center 48,Pulmonology,Specialty Clinic,North Texas,In Network
PRV-00049,Taylor Imaging Center 49,Oncology,Hospital,North Texas,Out of Network
PRV-00050,Jackson Imaging Center 50,Radiology,Surgery Center,North Texas,In Network
PRV-00051,Davis Clinic 51,Dermatology,Hospital,Central Texas,Out of Network
PRV-00052,Jackson Surgery Center 52,Primary Care,Specialty Clinic,North Texas,Out of Network
PRV-00053,Johnson Clinic 53,Physical Therapy,Hospital,East Texas,Out of Network
PRV-00054,Lee Imaging Center 54,Primary Care,Surgery Center,Central Texas,In Network
PRV-00055,Davis Imaging Center 55,Gastroenterology,Hospital,San Antonio,In Network
PRV-00056,Thomas Imaging Center 56,Primary Care,Clinic,North Texas,In Network
PRV-00057,Miller Hospital 57,Oncology,Surgery Center,Central Texas,In Network
PRV-00058,Lee Clinic 58,Physical Therapy,Specialty Clinic,Houston Metro,In Network
PRV-00059,Garcia Clinic 59,Radiology,Specialty Clinic,East Texas,In Network
PRV-00060,Johnson Clinic 60,Cardiology,Specialty Clinic,Houston Metro,Out of Network
PRV-00061,Miller Surgery Center 61,Cardiology,Clinic,Houston Metro,In Network
PRV-00062,Garcia Clinic 62,Radiology,Hospital,Austin Metro,In Network
PRV-00063,Davis Hospital 63,Primary Care,Clinic,Austin Metro,In Network
PRV-00064,Lee Specialty Clinic 64,Radiology,Clinic,North Texas,Out of Network
PRV-00065,Taylor Clinic 65,Pulmonology,Specialty Clinic,Houston Metro,In Network
PRV-00066,Thomas Imaging Center 66,Neurology,Hospital,San Antonio,In Network
PRV-00067,Lee Specialty Clinic 67,Pulmonology,Specialty Clinic,Central Texas,Out of Network
PRV-00068,Lee Imaging Center 68,Orthopedics,Specialty Clinic,Houston Metro,In Network
PRV-00069,White Clinic 69,Physical Therapy,Clinic,San Antonio,In Network
PRV-00070,Davis Surgery Center 70,Neurology,Imaging Center,San Antonio,In Network
PRV-00071,Garcia Clinic 71,Oncology,Imaging Center,North Texas,In Network
PRV-00072,Martin Hospital 72,Orthopedics,Clinic,Austin Metro,Out of Network
PRV-00073,Wilson Imaging Center 73,Gastroenterology,Imaging Center,San Antonio,In Network
PRV-00074,Moore Imaging Center 74,Orthopedics,Surgery Center,San Antonio,In Network
